tipo,nodo_padre,nombre_grupo_investigacion,sigla_grupo_investigacion,titulo,autor_1,autor_2,autor_3,autor_4,autor_5,issn,isbn,revista,ano
Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,,Praxis Musical,,"8. Nombre del proceso: Concierto Didáctico en la Escuela Adventista de la Concepción en Panamá Fecha de presentación: Año: 2022, Mes: Noviembre, medio de verificación: https://drive.google.com/drive/folders/1th46bISKtWTq-LjybtDH-faMD9Ydatxa Licencia Creative Commons u Open Data Commons del contenido: Atribución-No Comercial, 
                    Tipo de formato: PDF (.pdf);JPEG (.jpeg, .jpg, .jp2), Nombre del proyecto: Agrupaciones Corales en el entorno social.",,,,,,,,,2022
Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,,Praxis Musical,,"9. Nombre del proceso: Concierto Didáctico en el Colegio La Salle Instituto San Carlos Fecha de presentación: Año: 2022, Mes: Mayo, medio de verificación: https://drive.google.com/drive/folders/1th46bISKtWTq-LjybtDH-faMD9Ydatxa Licencia Creative Commons u Open Data Commons del contenido: Atribución-No Comercial, 
                    Tipo de formato: PDF (.pdf);JPEG (.jpeg, .jpg, .jp2), Nombre del proyecto: Agrupaciones Corales en el entorno social.",,,,,,,,,2022
Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,,Praxis Musical,,"10. Nombre del proceso: Concierto Didáctico en la Fundación Vida Sana Salem de Santiago de Cali Fecha de presentación: Año: 2023, Mes: Octubre, medio de verificación: https://drive.google.com/drive/folders/1th46bISKtWTq-LjybtDH-faMD9Ydatxa Licencia Creative Commons u Open Data Commons del contenido: Atribución-No Comercial, 
                    Tipo de formato: PDF (.pdf);JPEG (.jpeg, .jpg, .jp2), Nombre del proyecto: Vanguardia situada e Identidad cultural en la práctica musical de la UNAC.",,,,,,,,,2023
Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,,Praxis Musical,,"11. Nombre del proceso: Concierto Didáctico en la Corporación Educativa Adventista -CEA- Sede Alfonso López sección bachillerato en la ciudad de Cali Fecha de presentación: Año: 2023, Mes: Octubre, medio de verificación: https://drive.google.com/drive/folders/1th46bISKtWTq-LjybtDH-faMD9Ydatxa Licencia Creative Commons u Open Data Commons del contenido: Atribución-No Comercial, 
                    Tipo de formato: PDF (.pdf);JPEG (.jpeg, .jpg, .jp2), Nombre del proyecto: Vanguardia situada e Identidad cultural en la práctica musical de la UNAC.",,,,,,,,,2023
Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,,Praxis Musical,,"12. Nombre del proceso: Concierto Didáctico en el Instituto Colombo Venezolano -Icolven Fecha de presentación: Año: 2023, Mes: Noviembre, medio de verificación: https://drive.google.com/drive/folders/1th46bISKtWTq-LjybtDH-faMD9Ydatxa Licencia Creative Commons u Open Data Commons del contenido: Atribución-No Comercial, 
                    Tipo de formato: PDF (.pdf);JPEG (.jpeg, .jpg, .jp2), Nombre del proyecto: Vanguardia situada e Identidad cultural en la práctica musical de la UNAC.",,,,,,,,,2023
Ediciones,,Praxis Musical,,"1.- Libro : Aportaciones investigativas desde las Ciencias Administrativas y Contables Colombia, 2022, 
                Editorial: litografia icolven, Idiomas: Español, 
                Páginas: 190",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Ediciones,,Praxis Musical,,"2.- Revista : UNACIENCIA. Revista de Estudios e Investigaciones. Vol. 14, No. 27 Colombia, 2022, 
                Editorial: litografia icolven, Idiomas: Español, 
                Páginas: 102",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Ediciones,,Praxis Musical,,"3.- Revista : Revista Internacional de Estudios en Educación. Vol. 21, No. 2 México, 2022, 
                Editorial: Imprenta de la Universidad de Montemorelos, Idiomas: Español, 
                Páginas: 117",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Ediciones,,Praxis Musical,,"4.- Revista : Revista Internacional de Estudios en Educación. Vol. 22, No. 1, 2022 México, 2022, 
                Editorial: Imprenta de la Universidad de Montemorelos, Idiomas: Español, 
                Páginas: 69",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Ediciones,,Praxis Musical,,"5.- Revista : UNACIENCIA. Revista de Estudios e Investigaciones. Volumen 14, Número 26, 2021 Colombia, 2021, 
                Editorial: litografia icolven, Idiomas: Español, 
                Páginas: 80",ENOC IGLESIAS ORTEGA,,,,,,,,2021
